Facet,PZC,-2.0_VLi,-1.5_VLi,-1.0_VLi,-0.5_VLi,0.0_VLi,0.5_VLi,1.0_VLi,1.5_VLi,2.0_VLi
[100],-2.6593,-0.1435,0.2209,0.4429,0.4561,0.469358,0.2292,0.0505,-0.1611,-0.4008
[110],-2.805,-0.1641,0.2057,0.4507,0.5052,0.5078,0.295,0.1338,-0.0553,-0.2693
[111],-2.7678,-0.0947,0.2642,0.4805,0.5267,0.5335,0.262,0.0529,-0.2089,-0.5194
[210],-2.6982,-0.1373,0.2327,0.4674,0.4887,0.4976,0.2498,0.0576,-0.1729,-0.4361
[211],-2.7118,-0.1283,0.2242,0.4688,0.5212,0.5311,0.2885,0.0932,-0.1378,-0.3996
[221],-2.694,-0.1153,0.2545,0.4898,0.5056,0.5176,0.2561,0.0593,-0.1731,-0.433
[310],-2.6787,-0.1308,0.2312,0.4601,0.4822,0.4932,0.245,0.0464,-0.1943,-0.4733
[311],-2.7203,-0.1038,0.2576,0.4857,0.5141,0.5172,0.2455,0.0344,-0.2228,-0.5137
[320],-2.706,-0.146,0.2316,0.4645,0.4897,0.5011,0.2441,0.0591,-0.1593,-0.4015
[321],-2.7854,-0.1322,0.2399,0.4819,0.5239,0.5274,0.3012,0.1153,-0.1071,-0.3595
[322],-2.6822,-0.1031,0.2579,0.4857,0.514,0.5291,0.2561,0.0576,-0.1813,-0.4553
[331],-2.7252,-0.1256,0.2464,0.4817,0.5128,0.5225,0.269,0.0819,-0.1395,-0.3883
[332],-2.7098,-0.1192,0.2546,0.4829,0.5046,0.5143,0.2538,0.0545,-0.187,-0.4619
